City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Noumea,NC,2022-10-05 20:02:15,-22.2763,166.4572,294.82,99,100,2.11
68,Lebu,CL,2022-10-05 20:05:02,-37.6167,-73.65,285.7,69,100,4.4
69,Muborak,UZ,2022-10-05 20:05:02,39.2553,65.1528,287.45,22,0,5.7
70,Tessalit,ML,2022-10-05 20:05:03,20.1986,1.0114,309.0,13,45,4.01
71,Ketchikan,US,2022-10-05 20:02:13,55.3422,-131.6461,286.62,98,100,2.39
72,Ginir,ET,2022-10-05 20:05:03,7.1333,40.7,288.74,76,89,1.92
73,Fort Saint James,CA,2022-10-05 20:05:04,54.4333,-124.25,291.13,48,47,0.76
74,Lagoa,PT,2022-10-05 20:03:36,39.05,-27.9833,293.71,84,100,9.26
75,Tasiilaq,GL,2022-10-05 20:05:04,65.6145,-37.6368,273.24,62,72,2.35
76,Jamestown,US,2022-10-05 20:00:44,42.097,-79.2353,293.16,41,8,1.79
77,Portland,US,2022-10-05 20:04:49,45.5234,-122.6762,292.17,77,100,3.09
78,Bail Hongal,IN,2022-10-05 20:05:05,15.8167,74.8667,295.43,83,100,2.83
79,Upernavik,GL,2022-10-05 20:05:06,72.7868,-56.1549,266.01,79,56,2.29
80,Havoysund,NO,2022-10-05 20:04:38,70.9963,24.6622,280.28,89,100,9.2
81,Wanaka,NZ,2022-10-05 20:05:06,-44.7,169.15,273.75,70,70,2.2
82,Malartic,CA,2022-10-05 20:05:07,48.1335,-78.1328,293.16,72,100,4.7
83,Babynino,RU,2022-10-05 20:05:07,54.39,35.73,280.01,94,94,4.15
84,Perth,AU,2022-10-05 20:04:50,-31.9333,115.8333,284.28,84,40,0.0
85,Hay River,CA,2022-10-05 20:02:10,60.8156,-115.7999,281.56,42,0,4.47
86,Yellowknife,CA,2022-10-05 20:04:29,62.456,-114.3525,276.24,64,6,5.36
87,Angouleme,FR,2022-10-05 20:05:08,45.65,0.15,290.95,75,0,2.06
88,Ylivieska,FI,2022-10-05 20:05:09,64.0833,24.55,283.33,98,100,4.29
89,Oktyabrskoye,RU,2022-10-05 20:06:09,43.0645,44.7417,288.23,87,100,2.0
90,Taltal,CL,2022-10-05 20:06:10,-25.4,-70.4833,289.53,61,13,2.35
91,Coihaique,CL,2022-10-05 20:06:10,-45.5752,-72.0662,283.12,62,100,3.09
92,Yerbogachen,RU,2022-10-05 20:06:10,61.2767,108.0108,270.24,83,82,2.06
93,East London,ZA,2022-10-05 20:06:11,-33.0153,27.9116,291.99,82,100,4.37
94,Sabang,ID,2022-10-05 20:06:11,5.8933,95.3214,299.14,83,100,7.03
95,Plouzane,FR,2022-10-05 20:06:12,48.3833,-4.6167,286.33,82,20,4.12
96,Dunedin,NZ,2022-10-05 20:06:12,-45.8742,170.5036,275.85,82,100,8.54
97,Kargil,IN,2022-10-05 20:06:12,34.5667,76.1,280.1,50,0,2.63
98,Troitskoye,RU,2022-10-05 20:06:13,52.9821,84.6757,276.53,85,100,2.91
99,Ndioum,SN,2022-10-05 20:06:13,16.5129,-14.6471,312.43,13,10,3.02
100,Dikson,RU,2022-10-05 20:06:14,73.5069,80.5464,272.31,76,92,2.93
101,Pangai,TO,2022-10-05 20:06:14,-19.8,-174.35,298.46,86,100,6.24
102,Arlit,NE,2022-10-05 20:05:01,18.7369,7.3853,308.44,13,7,7.95
103,Lipin Bor,RU,2022-10-05 20:06:14,60.2622,37.9763,280.79,87,100,2.48
104,Vanderhoof,CA,2022-10-05 20:06:15,54.0166,-124.0198,290.92,50,15,0.64
105,Deputatskiy,RU,2022-10-05 20:06:15,69.3,139.9,260.29,93,100,2.62
106,Cape Town,ZA,2022-10-05 20:01:30,-33.9258,18.4232,288.64,63,0,2.68
107,Souillac,MU,2022-10-05 20:06:16,-20.5167,57.5167,295.36,73,20,3.6
108,Naze,JP,2022-10-05 20:02:30,28.3667,129.4833,296.49,76,34,4.25
109,Alofi,NU,2022-10-05 20:02:29,-19.0595,-169.9187,298.13,80,99,7.31
110,Polyarnyy,RU,2022-10-05 20:06:16,69.1989,33.4478,278.8,90,57,4.99
111,Usinsk,RU,2022-10-05 20:06:17,65.9939,57.5281,279.59,91,100,6.12
112,Hithadhoo,MV,2022-10-05 20:06:17,-0.6,73.0833,301.08,74,100,8.24
113,Prabumulih,ID,2022-10-05 20:06:18,-3.45,104.25,296.58,97,100,1.2
114,Mehamn,NO,2022-10-05 20:06:18,71.0357,27.8492,279.12,75,0,8.75
115,Birao,CF,2022-10-05 20:06:19,10.2849,22.7882,297.48,71,13,0.68
116,Bambous Virieux,MU,2022-10-05 20:04:46,-20.3428,57.7575,295.29,73,20,3.6
117,Shenzhen,CN,2022-10-05 20:04:50,22.5455,114.0683,301.6,89,30,3.77
118,Antalaha,MG,2022-10-05 20:06:19,-14.9003,50.2788,293.01,87,1,3.02
119,Longyearbyen,SJ,2022-10-05 20:06:20,78.2186,15.6401,278.06,70,20,6.69
120,Tagbac,PH,2022-10-05 20:06:20,7.089,125.1567,295.37,88,100,0.65
121,Kavaratti,IN,2022-10-05 20:06:21,10.5669,72.642,300.48,79,78,6.88
122,Scottsbluff,US,2022-10-05 20:06:21,41.8666,-103.6672,295.77,41,40,3.09
123,San Miguel El Alto,MX,2022-10-05 20:06:22,21.0167,-102.35,297.68,43,33,2.93
124,Bukama,CD,2022-10-05 20:06:22,-9.2,25.85,299.65,46,97,1.98
125,Talara,PE,2022-10-05 20:06:23,-4.5772,-81.2719,295.57,64,0,7.72
126,Severo-Kurilsk,RU,2022-10-05 20:06:23,50.6789,156.125,279.0,63,65,7.75
127,Tura,IN,2022-10-05 20:06:23,25.5198,90.2201,294.88,97,91,1.32
128,Awjilah,LY,2022-10-05 20:06:24,29.1081,21.2869,299.11,38,4,3.75
129,Kahului,US,2022-10-05 20:06:24,20.8947,-156.47,304.16,69,40,8.23
130,Mount Gambier,AU,2022-10-05 20:03:38,-37.8333,140.7667,287.1,94,100,4.63
131,Kodinsk,RU,2022-10-05 20:06:25,58.6881,99.1844,273.98,99,100,2.0
132,Rantepao,ID,2022-10-05 20:06:25,-2.9701,119.8978,292.01,98,100,0.97
133,Faya,SA,2022-10-05 20:06:26,18.3851,42.4509,294.44,30,44,3.49
134,Pevek,RU,2022-10-05 20:07:26,69.7008,170.3133,271.46,81,100,4.25
135,Kilindoni,TZ,2022-10-05 20:07:11,-7.9139,39.6668,297.76,75,24,6.74
136,Kamenka,RU,2022-10-05 20:07:27,51.3223,42.7678,282.27,79,88,3.77
137,Mana,GF,2022-10-05 20:07:27,5.6592,-53.7767,301.46,71,26,5.17
138,Kapaa,US,2022-10-05 20:02:28,22.0752,-159.319,299.87,76,9,1.34
139,Cabo San Lucas,MX,2022-10-05 20:07:27,22.8909,-109.9124,306.27,58,0,5.66
140,Talnakh,RU,2022-10-05 20:07:28,69.4865,88.3972,268.42,93,87,1.51
141,Barrow,US,2022-10-05 20:07:28,71.2906,-156.7887,276.16,65,20,10.29
142,Chokurdakh,RU,2022-10-05 20:07:29,70.6333,147.9167,264.36,97,96,2.51
143,Yen Bai,VN,2022-10-05 20:07:29,21.7,104.8667,296.81,96,11,0.56
144,Skelleftea,SE,2022-10-05 20:07:30,64.7507,20.9528,282.04,100,75,2.06
145,Znamenskoye,RU,2022-10-05 20:07:30,57.1281,73.8282,280.49,95,100,1.42
146,Asau,RO,2022-10-05 20:07:31,46.4333,26.4,283.86,79,96,2.72
147,Sioux Lookout,CA,2022-10-05 20:07:31,50.1001,-91.917,283.07,85,100,2.54
148,Taunggyi,MM,2022-10-05 20:07:31,20.7833,97.0333,288.86,94,6,0.78
149,Walvis Bay,NA,2022-10-05 20:07:32,-22.9575,14.5053,286.15,87,0,7.34
150,Yevlax,AZ,2022-10-05 20:07:32,40.6089,47.1492,292.14,77,0,2.06
151,Pascagoula,US,2022-10-05 20:07:32,30.3658,-88.5561,302.55,48,75,0.0
152,Thompson,CA,2022-10-05 20:07:33,55.7435,-97.8558,276.2,44,100,5.74
153,Pemba,MZ,2022-10-05 20:07:33,-12.974,40.5178,297.54,83,75,3.6
154,Salalah,OM,2022-10-05 20:07:34,17.0151,54.0924,298.75,80,100,1.28
155,Port Elizabeth,ZA,2022-10-05 20:03:22,-33.918,25.5701,288.88,87,94,3.13
156,Aksu,CN,2022-10-05 20:07:34,41.1231,80.2644,287.51,28,87,1.97
157,Kodiak,US,2022-10-05 20:07:34,57.79,-152.4072,284.88,87,100,8.75
158,Beyneu,KZ,2022-10-05 20:07:35,45.3167,55.2,286.74,33,97,6.21
159,Marawi,PH,2022-10-05 20:07:35,7.9986,124.2928,293.41,91,100,0.21
160,Tebingtinggi,ID,2022-10-05 20:07:36,3.3285,99.1625,297.18,94,100,0.91
161,Port Hardy,CA,2022-10-05 20:03:28,50.6996,-127.4199,289.74,83,100,1.13
