City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dawei,MM,14.0833,98.2,298.0,92,100,2.36,overcast clouds
80,Cabo San Lucas,MX,22.8909,-109.9124,302.32,57,0,1.03,clear sky
81,New Norfolk,AU,-42.7826,147.0587,285.88,51,96,1.34,overcast clouds
82,Takoradi,GH,4.8845,-1.7554,296.97,94,95,2.77,overcast clouds
83,Kampene,CD,-3.6,26.6667,291.99,98,98,1.11,overcast clouds
84,Zhezkazgan,KZ,47.8043,67.7144,271.14,50,0,6.0,clear sky
85,Port Alfred,ZA,-33.5906,26.891,287.14,87,100,1.34,overcast clouds
86,Dholka,IN,22.7167,72.4667,299.36,65,100,2.2,overcast clouds
87,Airai,TL,-8.9266,125.4092,296.86,61,86,0.74,overcast clouds
88,Bethel,US,41.3712,-73.414,283.02,82,100,2.57,overcast clouds
89,Pachino,IT,36.7186,15.0907,295.15,72,77,4.87,broken clouds
90,Khor,RU,47.8861,134.9464,276.98,47,7,8.09,clear sky
91,Palatka,US,29.6486,-81.6376,294.24,82,18,0.89,few clouds
92,Eureka,US,40.8021,-124.1637,288.11,83,6,0.45,clear sky
93,Erenhot,CN,43.6475,111.9767,274.54,25,0,1.06,clear sky
94,Fairbanks,US,64.8378,-147.7164,284.15,71,40,3.09,scattered clouds
95,Amapa,BR,1.0,-52.0,295.23,96,100,1.3,overcast clouds
96,Thompson,CA,55.7435,-97.8558,275.24,80,20,1.03,few clouds
97,Salalah,OM,17.0151,54.0924,297.43,83,89,2.04,overcast clouds
98,Liverpool,GB,53.4106,-2.9779,287.45,87,100,4.12,overcast clouds
99,Trairi,BR,-3.2778,-39.2689,298.47,79,40,5.43,scattered clouds
100,Tiksi,RU,71.6872,128.8694,266.96,88,81,5.09,broken clouds
101,Maniitsoq,GL,65.4167,-52.9,273.91,66,97,2.49,overcast clouds
102,Yasnogorsk,RU,54.4803,37.6975,282.35,82,100,9.19,overcast clouds
103,Souris,CA,49.6172,-100.2612,287.45,59,64,2.76,broken clouds
104,Guerrero Negro,MX,27.9769,-114.0611,294.04,80,58,7.02,broken clouds
105,Port Elizabeth,ZA,-33.918,25.5701,288.31,81,0,7.2,clear sky
106,Champerico,GT,14.3,-91.9167,300.2,77,86,2.88,overcast clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,269.15,86,100,6.17,overcast clouds
108,Benguela,AO,-12.5763,13.4055,294.85,84,22,1.16,few clouds
109,Jiangkou,CN,25.4872,119.1986,303.54,54,0,1.76,clear sky
110,Huilong,CN,31.8111,121.655,295.89,82,100,10.41,overcast clouds
111,Bredasdorp,ZA,-34.5322,20.0403,283.09,89,0,2.75,clear sky
112,Ardmore,US,34.1743,-97.1436,295.51,48,0,0.0,clear sky
113,Puerto Ayora,EC,-0.7393,-90.3518,291.79,93,38,3.58,scattered clouds
114,Marrakesh,MA,31.6315,-8.0083,294.19,40,22,1.54,few clouds
115,Saskylakh,RU,71.9167,114.0833,264.4,95,95,2.76,overcast clouds
116,Kaniama,CD,-7.5667,24.1833,291.41,90,97,0.95,overcast clouds
117,Nayoro,JP,44.3506,142.4578,289.43,99,100,1.56,light rain
118,Faanui,PF,-16.4833,-151.75,298.94,75,4,6.59,light rain
119,Clyde River,CA,70.4692,-68.5914,271.28,100,100,2.06,overcast clouds
120,Kotka,FI,60.4664,26.9458,278.74,88,100,9.8,light rain
121,Caravelas,BR,-17.7125,-39.2481,297.15,86,56,5.07,broken clouds
122,Pangnirtung,CA,66.1451,-65.7125,274.7,57,100,4.43,light snow
123,Oda,JP,35.1833,132.5,301.58,69,98,6.42,light rain
124,Haines Junction,CA,60.7522,-137.5108,283.12,53,100,3.09,overcast clouds
125,Provideniya,RU,64.3833,-173.3,280.21,70,0,3.0,clear sky
126,Tocopilla,CL,-22.092,-70.1979,288.54,68,8,1.09,clear sky
127,Nacala,MZ,-14.5428,40.6728,294.0,86,5,1.52,clear sky
128,Pisco,PE,-13.7,-76.2167,288.18,88,0,7.2,clear sky
129,Mahebourg,MU,-20.4081,57.7,294.4,83,40,3.6,scattered clouds
130,Norman Wells,CA,65.282,-126.8329,275.17,100,100,2.06,light rain
131,Cockburn Town,TC,21.4612,-71.1419,301.61,72,100,2.5,overcast clouds
132,Tsabong,BW,-26.0217,22.401,291.91,10,0,4.04,clear sky
133,Bendigo,AU,-36.7667,144.2833,293.63,51,100,2.24,overcast clouds
134,Magugu,TZ,-4.0167,35.7667,290.05,67,100,1.17,overcast clouds
135,Kibaya,TZ,-5.3,36.5667,284.66,87,99,1.28,overcast clouds
136,Touros,BR,-5.1989,-35.4608,297.89,77,20,5.86,few clouds
137,Pacific Grove,US,36.6177,-121.9166,292.29,79,0,4.02,clear sky
138,San Antonio,US,29.4241,-98.4936,299.03,35,100,2.06,overcast clouds
139,Bolobo,CD,-2.1667,16.2333,294.29,94,42,1.08,scattered clouds
140,Teya,RU,60.3778,92.6267,272.5,73,87,1.88,overcast clouds
141,Maralal,KE,1.0968,36.698,287.3,74,100,1.48,overcast clouds
142,Tuatapere,NZ,-46.1333,167.6833,281.1,90,100,5.08,light rain
