City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chokurdakh,RU,2022-10-05 01:28:53,70.6333,147.9167,268.63,85,97,3.1
68,Ust-Kut,RU,2022-10-05 01:28:54,56.7938,105.7672,271.28,70,30,1.03
69,Sampit,ID,2022-10-05 01:28:54,-2.5333,112.95,298.11,92,100,0.73
70,Carnarvon,AU,2022-10-05 01:28:54,-24.8667,113.6333,294.17,68,48,5.04
71,Goderich,CA,2022-10-05 01:28:55,43.7501,-81.7165,284.77,87,8,1.03
72,Provideniya,RU,2022-10-05 01:28:55,64.3833,-173.3,278.35,70,75,5.0
73,Sinaloa,MX,2022-10-05 01:28:56,25.0,-107.5,301.4,89,0,1.17
74,Deputatskiy,RU,2022-10-05 01:28:56,69.3,139.9,260.6,92,69,0.97
75,Bluff,NZ,2022-10-05 01:28:57,-46.6,168.3333,277.48,68,95,13.24
76,Lebu,CL,2022-10-05 01:28:57,-37.6167,-73.65,282.97,93,14,2.43
77,Kapaa,US,2022-10-05 01:28:57,22.0752,-159.319,302.14,68,40,6.69
78,Balaipungut,ID,2022-10-05 01:28:58,1.05,101.2833,296.43,96,100,1.22
79,Woodend,NZ,2022-10-05 01:28:59,-43.3167,172.6667,282.28,71,100,6.37
80,Hami,CN,2022-10-05 01:28:59,42.8,93.45,285.17,59,99,3.12
81,Bac Lieu,VN,2022-10-05 01:28:59,9.285,105.7244,301.24,81,99,6.3
82,Cabo San Lucas,MX,2022-10-05 01:29:00,22.8909,-109.9124,301.82,69,20,0.0
83,Kaeo,NZ,2022-10-05 01:29:00,-35.1,173.7833,292.22,64,100,5.37
84,Arraial Do Cabo,BR,2022-10-05 01:29:00,-22.9661,-42.0278,294.07,94,75,2.57
85,Awbari,LY,2022-10-05 01:29:01,26.5921,12.7805,295.03,39,0,3.79
86,Henties Bay,NA,2022-10-05 01:29:01,-22.116,14.2845,285.12,93,2,3.4
87,Mandalgovi,MN,2022-10-05 01:29:03,45.7625,106.2708,272.79,32,98,1.09
88,Hermanus,ZA,2022-10-05 01:29:03,-34.4187,19.2345,284.71,73,97,1.91
89,Salgueiro,BR,2022-10-05 01:29:04,-8.0742,-39.1192,299.71,41,37,7.42
90,Touros,BR,2022-10-05 01:27:09,-5.1989,-35.4608,297.77,77,23,6.21
91,Saldanha,ZA,2022-10-05 01:29:04,-33.0117,17.9442,280.18,70,0,4.82
92,Puerto Ayora,EC,2022-10-05 01:29:05,-0.7393,-90.3518,292.34,93,27,2.68
93,Chulumani,BO,2022-10-05 01:29:05,-16.4096,-67.5263,291.38,93,37,0.64
94,Sovetskiy,RU,2022-10-05 01:29:06,61.3614,63.5842,280.44,93,61,0.25
95,Hambantota,LK,2022-10-05 01:30:06,6.1241,81.1185,299.34,89,40,2.06
96,Killybegs,IE,2022-10-05 01:30:07,54.6333,-8.45,284.61,89,100,6.39
97,Khovu-Aksy,RU,2022-10-05 01:30:08,51.1333,93.6,273.33,42,1,0.63
98,Barrow,US,2022-10-05 01:30:08,71.2906,-156.7887,274.16,86,100,3.09
99,Hithadhoo,MV,2022-10-05 01:30:09,-0.6,73.0833,301.19,69,100,7.82
100,Port Elizabeth,ZA,2022-10-05 01:30:09,-33.918,25.5701,288.32,90,0,2.57
101,Gambela,ET,2022-10-05 01:30:10,8.25,34.5833,294.47,85,100,1.16
102,Plettenberg Bay,ZA,2022-10-05 01:30:10,-34.0527,23.3716,284.94,81,0,1.88
103,Pitea,SE,2022-10-05 01:30:12,65.3172,21.4794,281.2,89,100,5.45
104,Nanortalik,GL,2022-10-05 01:30:13,60.1432,-45.2371,276.86,96,100,11.67
105,Hervey Bay,AU,2022-10-05 01:30:14,-25.2986,152.8535,295.94,57,100,3.13
